CustomerID,InsurerID,Years.with.Insurer,Number.of.Claims,Total.Claim.Amount,CoverageType
15,2,8,4,148014.94,Full
20,3,7,5,84181.67,Partial
27,4,18,4,96219.15,Full
28,4,1,3,36843,Partial
30,3,16,5,47346.39,Full
35,5,17,2,78694.3,Partial
96,7,16,1,23393.51,Partial
131,6,2,3,135540.77,Partial
149,5,3,4,97972.47,Partial
166,7,20,2,51390.44,Partial
174,2,2,3,62430.65,Full
181,9,4,1,42550.53,Full
202,2,10,4,4051.43,Full
219,9,1,3,130021.58,Full
248,7,20,1,71780.6,Partial
251,6,13,5,117457.95,Full
267,8,16,3,27726.78,Partial
268,5,14,1,111820.41,Full
296,7,17,4,534.15,Partial
300,10,6,5,62434.1,Full
309,5,9,6,65274.96,Partial
310,2,17,3,131011.08,Partial
327,3,11,1,30206.46,Partial
329,1,16,2,10596.54,Partial
332,7,7,4,111006.25,Partial
350,4,19,5,98172.12,Full
379,2,14,6,96208.49,Full
397,1,14,5,132937.1,Full
400,2,20,3,141374.44,Full
415,7,14,4,109791.32,Partial
418,4,8,4,81253.68,Full
423,6,13,2,51509.02,Partial
428,4,3,3,82351.29,Full
434,3,2,5,9923.25,Partial
441,10,9,2,99100.87,Full
444,4,6,4,72755.66,Partial
448,10,16,1,37991.46,Partial
453,1,15,4,72445.85,Partial
455,9,8,1,66494.01,Partial
466,10,13,3,15988.85,Partial
468,6,19,3,31003.54,Full
476,6,19,6,71677.99,Full
479,10,19,1,75383.23,Full
481,9,14,3,113077.47,Full
486,4,3,2,129724.59,Partial
492,4,14,6,14947.98,Full
505,10,2,3,17939.85,Partial
509,2,1,2,35857.81,Full
511,9,11,4,68932.59,Partial
521,4,20,2,11778.51,Full
526,5,4,6,137510.98,Partial
554,6,14,3,48705.99,Partial
575,3,15,2,1721.57,Partial
580,4,4,5,70119.48,Partial
581,3,8,2,5690.04,Partial
597,5,5,6,91717.45,Full
630,4,10,2,15958.33,Full
647,2,1,4,57856.96,Full
657,3,1,2,82402.63,Full
660,9,13,4,132155.18,Partial
668,10,17,3,110988.83,Full
670,10,11,4,52909.59,Partial
674,3,17,2,76250.39,Full
681,3,13,1,114031.13,Partial
696,3,7,4,85367.01,Full
703,5,8,3,86210.75,Partial
708,1,11,1,145053.82,Partial
725,9,15,5,81351.06,Partial
740,3,9,5,44335.05,Partial
741,8,19,3,25830.59,Partial
746,5,12,4,23325.86,Full
765,6,14,6,54904.53,Full
770,6,19,6,5032.8,Full
775,10,3,3,15618,Full
781,9,1,1,31162.22,Partial
787,10,9,3,136450.57,Full
801,2,14,6,27181.19,Partial
802,1,5,6,148879.63,Full
807,7,13,5,110374.42,Partial
812,1,1,5,47799.96,Full
813,2,9,3,21397.08,Partial
817,9,12,2,86104.14,Partial
852,6,6,3,102747.66,Partial
871,7,14,4,113133.15,Partial
874,5,3,3,40693.45,Partial
876,8,7,5,142976.42,Full
879,7,2,3,128070.3,Full
881,4,17,5,136404.95,Full
894,8,11,5,32762.79,Full
912,3,19,5,46740.14,Partial
923,9,14,4,20936.98,Full
962,2,9,4,125688.32,Partial
969,3,15,6,85094.83,Full
979,3,12,2,44378.99,Partial
984,6,20,1,105446.34,Full
